# s,dist_s
-9.375000000000000000e-01,2.575136666986576062e-01
-8.437500000000000000e-01,2.858426473491288422e-01
-7.500000000000000000e-01,3.138213830688014183e-01
-6.562500000000000000e-01,3.407742751093474354e-01
-5.625000000000000000e-01,3.659989480288690089e-01
-4.687500000000000000e-01,3.887958633457066493e-01
-3.750000000000000000e-01,4.085001288632680305e-01
-2.812500000000000000e-01,4.245135178708957513e-01
-1.875000000000000000e-01,4.363345615568155478e-01
-9.375000000000000000e-02,4.435846083341489776e-01
0.000000000000000000e+00,4.460279624947174337e-01
9.375000000000000000e-02,4.435846083341489776e-01
1.875000000000000000e-01,4.363345615568155478e-01
2.812500000000000000e-01,4.245135178708957513e-01
3.750000000000000000e-01,4.085001288632680305e-01
4.687500000000000000e-01,3.887958633457066493e-01
5.625000000000000000e-01,3.659989480288690089e-01
6.562500000000000000e-01,3.407742751093474354e-01
7.500000000000000000e-01,3.138213830688014183e-01
8.437500000000000000e-01,2.858426473491288422e-01
9.375000000000000000e-01,2.575136666986576062e-01
1.031250000000000000e+00,2.294575245430939270e-01
1.125000000000000000e+00,2.022241828183052592e-01
1.218750000000000000e+00,1.762757772146498203e-01
1.312500000000000000e+00,1.519780791601414438e-01
1.406250000000000000e+00,1.295979190441074458e-01
1.500000000000000000e+00,1.093059665684197740e-01
1.593750000000000000e+00,9.118396517066355844e-02
1.687500000000000000e+00,7.523533211599646442e-02
1.781250000000000000e+00,6.139796473595447723e-02
1.875000000000000000e+00,4.955812555524584384e-02
1.968750000000000000e+00,3.956439527485425267e-02
2.062500000000000000e+00,3.124085826351213208e-02
2.156250000000000000e+00,2.439889425801529746e-02
2.250000000000000000e+00,1.884716779641177828e-02
2.343750000000000000e+00,1.439961276814013570e-02
2.437500000000000000e+00,1.088138792687540386e-02
2.531250000000000000e+00,8.132920694180334822e-03
2.625000000000000000e+00,6.012257120661956139e-03
2.718750000000000000e+00,4.395996290416038545e-03
2.812500000000000000e+00,3.179112180944814684e-03
2.906250000000000000e+00,2.273961737508361797e-03
3.000000000000000000e+00,1.608752432124169749e-03
3.093750000000000000e+00,1.125703571764703542e-03
3.187500000000000000e+00,7.790900100164130154e-04
3.281250000000000000e+00,5.333103240556223441e-04
3.375000000000000000e+00,3.610780682954443065e-04
3.468750000000000000e+00,2.417970475830671820e-04
3.562500000000000000e+00,1.601509948799537998e-04
3.656250000000000000e+00,1.049148712601394930e-04
3.750000000000000000e+00,6.797875824094535115e-05
3.843750000000000000e+00,4.356504491425989314e-05
3.937500000000000000e+00,2.761416204462556156e-05
4.031250000000000000e+00,1.731228272435320241e-05
4.125000000000000000e+00,1.073508695631449025e-05
4.218750000000000000e+00,6.583935404923076042e-06
4.312500000000000000e+00,3.993873636656434939e-06
4.406250000000000000e+00,2.396248436573370126e-06
4.500000000000000000e+00,1.421995195383218605e-06
4.593750000000000000e+00,8.346284403452925134e-07
4.687500000000000000e+00,4.845258964494887276e-07
4.781250000000000000e+00,2.782079729783563032e-07
4.875000000000000000e+00,1.579977543058017546e-07
4.968750000000000000e+00,8.874849975509328322e-08
5.062500000000000000e+00,4.930601350299156247e-08
5.156250000000000000e+00,2.709365050194810005e-08
5.250000000000000000e+00,1.472529222448734035e-08
5.343750000000000000e+00,7.915695581835410000e-09
5.437500000000000000e+00,4.208651931054926652e-09
5.531250000000000000e+00,2.213225673248962128e-09
5.625000000000000000e+00,1.151163876368976653e-09
5.718750000000000000e+00,5.922122279904943341e-10
5.812500000000000000e+00,3.013327616987839503e-10
5.906250000000000000e+00,1.516505875460012402e-10
6.000000000000000000e+00,7.548672894188826907e-11
